Scheme Name,URL,Region,Tags
Naye Fal Bagicho Ki Sthapana,https://www.myscheme.gov.in/schemes/nfbks,Rajasthan,"Agriculture, Farmer, Fruits, Garden, Agriculture, Farmer, Fruits, Garden"
Plastic Mulching,https://www.myscheme.gov.in/schemes/pm,Rajasthan,"Agriculture, Farmer, Farming, Plastic Mulching, Agriculture, Farmer, Farming, Plastic Mulching"
Walk In Tunnel,https://www.myscheme.gov.in/schemes/wit,Rajasthan,"Agriculture, Crops, Walk In Tunnel, Agriculture, Crops, Walk In Tunnel"
Dr. P. G. Solanki Scheme for Loan/Assistance to Law Graduates of Scheduled Caste,https://www.myscheme.gov.in/schemes/dpgsslalgsc,Gujarat,"Financial Assistance, Law Graduate, Loan, Scheduled Caste, Financial Assistance, Law Graduate, Loan, Scheduled Caste"
Mai Ramabai Ambedakar Saat Phera Samuh Lagna Yojana,https://www.myscheme.gov.in/schemes/mraspsly,Gujarat,"Financial Assistance, Group Marriage, Incentive, Scheduled Caste, Wedding, Financial Assistance, Group Marriage, Incentive, Scheduled Caste, Wedding"
Young Innovators Program,https://www.myscheme.gov.in/schemes/yipjk,Jammu and Kashmir,
Scheme for Award of Scholarships to School or College-Going Children of Employees/Industrial Employees in Various Establishments,https://www.myscheme.gov.in/schemes/sasseceie,Goa,"College, Scholarship, School, Student, Worker, College, Scholarship, School, Student, Worker"
Assistance for Power Driven Chaff Cutter Scheme under Tribal Area Sub Plan (TASP- ST Category),https://www.myscheme.gov.in/schemes/apdccstaspstc,Gujarat,"Chaff Cutter, Dairy Farming, Fodder, Scheduled Tribe, Subsidy, TASP, Chaff Cutter, Dairy Farming, Fodder, Scheduled Tribe, Subsidy, TASP"
Utility Based Handicrafts Award,https://www.myscheme.gov.in/schemes/ubha,Tamil Nadu,"Artisans, Award, Handicrafts, Manufacturer, Prize, Artisans, Award, Handicrafts, Manufacturer, Prize"
Poompuhar State Award,https://www.myscheme.gov.in/schemes/psa,Tamil Nadu,"Artisans, Award, Crafts, Financial Assistance, Artisans, Award, Crafts, Financial Assistance"
The Meghalaya Tribal Students’ Book Grant (Post-Matric Education),https://www.myscheme.gov.in/schemes/tmtsbg-pme,Meghalaya,"Book Grant, Education, Financial Assistance, Post-matric Courses, Student, Book Grant, Education, Financial Assistance, Post-matric Courses, Student"
Pichda Varg Post Matric Chhatravritti,https://www.myscheme.gov.in/schemes/pvpmc,Madhya Pradesh,"Financial Support, Scholarships, Student, Financial Support, Scholarships, Student"
Post Metric Scholarship - Madhya Pradesh,https://www.myscheme.gov.in/schemes/pmsm,Madhya Pradesh,"Financial Support, Post Metric, Scholarship, Financial Support, Post Metric, Scholarship"
Pension To Widows And Destitute Women-Chandigarh,https://www.myscheme.gov.in/schemes/ptwadwc,Chandigarh,"Destitute Women, Financial Assistance, Widows, Destitute Women, Financial Assistance, Widows"
"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for General Category (HRT-2)",https://www.myscheme.gov.in/schemes/atesgephmgchrt2,Gujarat,"Cooperative Society, Farmer, Farmer Group, Financial Assistance, General Category, HRT-2, Post-Harvest Management, Shorting Equipment, Tools, Cooperative Society, Farmer, Farmer Group, Financial Assistance, General Category, HRT-2, Post-Harvest Management, Shorting Equipment, Tools"
"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Tribes (HRT-3)",https://www.myscheme.gov.in/schemes/atesgephmesthrt3,Gujarat,"Cooperative Society, Equipment, Farmer, Farmer Group, Financial Assistance, HRT-3, Scheduled Tribe, Tools, Cooperative Society, Equipment, Farmer, Farmer Group, Financial Assistance, HRT-3, Scheduled Tribe, Tools"
"Coaching Assistance to Scheduled Castes Students for Preparation of Examination Like IIM, NIFT, NLU, CEPT",https://www.myscheme.gov.in/schemes/cascspeinnc,Gujarat,"CEPT, Coaching, IIM, NIFT, NLU, Scheduled Caste, Student, CEPT, Coaching, IIM, NIFT, NLU, Scheduled Caste, Student"
Financial Assistance to Meet the Funeral Expenses of Differently Abled Person,https://www.myscheme.gov.in/schemes/fatmtfeodap,Tamil Nadu,"Death, Disability, Financial Assistance, Funeral, Death, Disability, Financial Assistance, Funeral"
Financial Assistance on the Natural Death of Differently Abled Person,https://www.myscheme.gov.in/schemes/faotndodap,Tamil Nadu,"Death, Differently Abled, Financial Assistance, Death, Differently Abled, Financial Assistance"
AGR-50 Scheme-Assistance To Purchase Tractors,https://www.myscheme.gov.in/schemes/agr50s-apt,Gujarat,"Agriculture, Farmer, Financial Assistance, Mechanization, Tractor, Agriculture, Farmer, Financial Assistance, Mechanization, Tractor"
Maintenance Allowance for Leprosy Affected Persons,https://www.myscheme.gov.in/schemes/maflap,Tamil Nadu,"Disability, Financial Assistance, Leprosy, Monthly Allowance, Social Welfare, Disability, Financial Assistance, Leprosy, Monthly Allowance, Social Welfare"
Umbrella Assistance Scheme (UKBOCWWB),https://www.myscheme.gov.in/schemes/uasukbocwwb,Uttarakhand,"Building Worker, Construction Worker, Labour, Umbrella, Building Worker, Construction Worker, Labour, Umbrella"
Marriage Assistance to Normal Persons Marrying Visually Impaired Persons,https://www.myscheme.gov.in/schemes/matnpmvip-tn,Tamil Nadu,"Differently-abled Person, Financial Assistance, Marriage, Visually, Differently-abled Person, Financial Assistance, Marriage, Visually"
Bicycle/Sewing Machine Assistance Scheme (UKBOCWWB),https://www.myscheme.gov.in/schemes/bsmasukbocwwb,Uttarakhand,"Bicycle, Building Worker, Construction Worker, Labour, Sewing Machine, Bicycle, Building Worker, Construction Worker, Labour, Sewing Machine"
Andaman & Nicobar Bed & Breakfast / Home Stay Establishment Scheme,https://www.myscheme.gov.in/schemes/acbbhses,Andaman and Nicobar Islands,"Accommodation, Bed, Breakfast, Homestay, Tourism, Accommodation, Bed, Breakfast, Homestay, Tourism"
Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm For Scheduled Tribe,https://www.myscheme.gov.in/schemes/ssiemafst,Gujarat,"Animal Husbandry, Cattle Farming, Loan, Scheduled Tribe, Subsidy, Animal Husbandry, Cattle Farming, Loan, Scheduled Tribe, Subsidy"
One Stop Centre,https://www.myscheme.gov.in/schemes/osc,Ministry of Women and Child Development,"Abuse, Victim, Violence, Women, Abuse, Victim, Violence, Women"
Scheme of Personal Assistance Allowance to Differently Abled Persons with High Support Need,https://www.myscheme.gov.in/schemes/sopaatdapwhsn,Tamil Nadu,"Allowance, Financial Assistance, Person With Disability, Personal Assistance, Social Welfare, Allowance, Financial Assistance, Person With Disability, Personal Assistance, Social Welfare"
Mahatma Jyotirao Phule Jan Arogya Yojana,https://www.myscheme.gov.in/schemes/mjpjay,Maharashtra,"Cashless Service, Diseases, Health Insurance, Hospital, Hospital, Cashless Service, Diseases, Health Insurance, Hospital, Hospital"
Internship Programme for Women Students / Scholars / Social Activists / Teachers,https://www.myscheme.gov.in/schemes/ipmwcd,Ministry of Women and Child Development,"Internship Programme, Opportunity, Scholars, Social Activist, Teachers, Women Student, Internship Programme, Opportunity, Scholars, Social Activist, Teachers, Women Student"
Disability Assistance For Registered Worker (HBOCWWB),https://www.myscheme.gov.in/schemes/darwhbocwwb,Haryana,"Accident, Construction Worker, Disability, Financial Assistance, Accident, Construction Worker, Disability, Financial Assistance"
Financial Assistance On Marriage Of Children (HBOCWWB),https://www.myscheme.gov.in/schemes/famc-hbocwwb,Haryana,"Children, Construction Worker, Financial Assistance, Marriage, Social Welfare, Children, Construction Worker, Financial Assistance, Marriage, Social Welfare"
Scholarship (Above VIII Standard) - Tamil Nadu,https://www.myscheme.gov.in/schemes/saviiisbwodap,Tamil Nadu,"Different Abled Person, Education, Scholarship, Student, Different Abled Person, Education, Scholarship, Student"
Financial Assistance for Treatment of Chronic Diseases (HBOCWWB),https://www.myscheme.gov.in/schemes/fatcdhbocwwb,Haryana,"AIDS, Building Worker, Cancer, Chronic Diseases, Construction Worker, Financial Assistance, Labour, TB, Treatment, AIDS, Building Worker, Cancer, Chronic Diseases, Construction Worker, Financial Assistance, Labour, TB, Treatment"
Free Travelling Facility (HBOCWWB),https://www.myscheme.gov.in/schemes/ftfhbocwwb,Haryana,"Building Worker, Construction Worker, Free Travelling, Historical Places, Labour, Religious Places, Building Worker, Construction Worker, Free Travelling, Historical Places, Labour, Religious Places"
Scholarship (I to VIII Standard) by Welfare of Differently Abled Persons,https://www.myscheme.gov.in/schemes/sitviiisbwodap,Tamil Nadu,"Book, Differently-abled Person, Scholarship, Student, Book, Differently-abled Person, Scholarship, Student"
Widow Pension-West Bengal,https://www.myscheme.gov.in/schemes/wpwb,West Bengal,"Financial Assistance, Pension, Social Welfare, Financial Assistance, Pension, Social Welfare"
Maternity Benefit Scheme (HBOCWWB),https://www.myscheme.gov.in/schemes/mbs-hbocwwb,Haryana,"Birth, Construction Workers, Financial Assistance, Maternity, Women, Birth, Construction Workers, Financial Assistance, Maternity, Women"
"Banglashree for Micro, Small and Medium Enterprises: Subsidy on Stamp Duty and Registration Fee (SDRFS)",https://www.myscheme.gov.in/schemes/sdrfs,West Bengal,"Entrepreneurship, Financial Assistance, Incentives, MSME, Registration Fee, Reimbursement, Stamp Duty, Subsidy, Entrepreneurship, Financial Assistance, Incentives, MSME, Registration Fee, Reimbursement, Stamp Duty, Subsidy"
Mukhya Mantri Shramyogi Prathibhavan Vidyarthi Yojana (HBOCWWB),https://www.myscheme.gov.in/schemes/mmspvyhbocwwb,Haryana,"Building Worker, Construction Worker, Financial Assistance, Labour, Student, Building Worker, Construction Worker, Financial Assistance, Labour, Student"
Special Education - Tamil Nadu,https://www.myscheme.gov.in/schemes/sebwodap,Tamil Nadu,"Child, Different Abled Person, Hearing Impaired, Locomotor, Visually Impaired, Child, Different Abled Person, Hearing Impaired, Locomotor, Visually Impaired"
One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI),https://www.myscheme.gov.in/schemes/ota-sfi,West Bengal,"Agriculture, Farmers, Financial Assistance, Small Farm Implements, Agriculture, Farmers, Financial Assistance, Small Farm Implements"
Retrofitted Petrol Scooters - Tamil Nadu,https://www.myscheme.gov.in/schemes/rpsbwodapd,Tamil Nadu,"Differently Abled Person, Employed, Orthopedically, Scooter, Social Welfare, Student, Differently Abled Person, Employed, Orthopedically, Scooter, Social Welfare, Student"
West Bengal Migrant Workers’ Welfare Scheme: Repatriation of Dead Body,https://www.myscheme.gov.in/schemes/wbmwwsc,West Bengal,"Cremation, Financial Assistance, Labour, Migrant, Repatriation, Social Welfare, Worker, Cremation, Financial Assistance, Labour, Migrant, Repatriation, Social Welfare, Worker"
Calipers and Crutches - Tamil Nadu,https://www.myscheme.gov.in/schemes/cacbwodap,Tamil Nadu,"Calipers And Crutches, Orthopedically, Person With Disability, Social Welfare, Calipers And Crutches, Orthopedically, Person With Disability, Social Welfare"
Tricycles - Tamil Nadu,https://www.myscheme.gov.in/schemes/tbwodap,Tamil Nadu,"Orthopedically, Person With Disability, Social Welfare, Tricycles, Orthopedically, Person With Disability, Social Welfare, Tricycles"
"Financial Assistance to Workers with a Visually, Physically or Mentally Disabled Child- Haryana Labour Welfare Board",https://www.myscheme.gov.in/schemes/fawvpmdc-hlwb,Haryana,"Blind, Deaf, Disability, Financial Assistance, Mentally Retarded, Mute, PwD, Worker, Blind, Deaf, Disability, Financial Assistance, Mentally Retarded, Mute, PwD, Worker"
Financial Assistance for Working Women Workers or Wives of Male Workers for Maternity- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/fawwwwmwmhlwb,Haryana,"Financial Assistance, Labour, Maternity, Worker, Financial Assistance, Labour, Maternity, Worker"
Financial Assistance for Artificial Limbs to Workers and their Dependents- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/faalwd-hlwb,Haryana,"Artificial Limbs, Disability, Financial Assistance, Labour, PwD, Worker, Artificial Limbs, Disability, Financial Assistance, Labour, PwD, Worker"
Early Intervention Centres for Children with Autism,https://www.myscheme.gov.in/schemes/eicca,Tamil Nadu,"Autism, Differently Abled Person, Skill, Social Welfare, Autism, Differently Abled Person, Skill, Social Welfare"
Dental Care Scheme- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/dcs-hlwb,Haryana,"Dental Care, Denture, Financial Assistance, Jaw Implants, Labour, Organized Worker, Teeth, Dental Care, Denture, Financial Assistance, Jaw Implants, Labour, Organized Worker, Teeth"
Minimata Mahtari Jatan Yojana,https://www.myscheme.gov.in/schemes/bpsy,Chhattisgarh,"Child Care, Construction Workers, Financial Assistance, Pregnancy Care, Women Wellness, Child Care, Construction Workers, Financial Assistance, Pregnancy Care, Women Wellness"
Leave Travel Concession Scheme- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/ltcs-hlwb,Haryana,"Concession, Labour, Leave Travel, LTC, Worker, Concession, Labour, Leave Travel, LTC, Worker"
Old Age Pension,https://www.myscheme.gov.in/schemes/oapwb,West Bengal,"Financial Assistance, Old Age, Pension, Senior Citizens, Social Welfare, Financial Assistance, Old Age, Pension, Senior Citizens, Social Welfare"
Sewing Machine Scheme- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/sms-hlwb,Haryana,"Financial Assistance, Organized Sector, Sewing Machine, Woman Worker, Financial Assistance, Organized Sector, Sewing Machine, Woman Worker"
Financial Assistance for Professional/Technical Courses (HBOCWWB),https://www.myscheme.gov.in/schemes/faptchbocwwb,Haryana,"Building Worker, Construction Worker, Financial Assistance, Labour, Professional Course, Student, Technical Course, Building Worker, Construction Worker, Financial Assistance, Labour, Professional Course, Student, Technical Course"
West Bengal Textile Incentive Scheme: Waiver of Electricity Duty,https://www.myscheme.gov.in/schemes/wbtiswed,West Bengal,"Electricity Duty, Entrepreneurship, Incentives, Reimbursement, Subsidy, Textile, Waiver, Electricity Duty, Entrepreneurship, Incentives, Reimbursement, Subsidy, Textile, Waiver"
Bicycle Scheme- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/bs-hlwb,Haryana,"Bicycle, Financial Assistance, Labour, Worker, Bicycle, Financial Assistance, Labour, Worker"
Financial Assistance to Indigent Tamil Scholars,https://www.myscheme.gov.in/schemes/fatits,Puducherry,"Artist, Culture, Financial Assistance, Indigent, Artist, Culture, Financial Assistance, Indigent"
Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme - II,https://www.myscheme.gov.in/schemes/mranmas-ii,Tamil Nadu,"Daughter, Financial Assistance, Gold, Marriage, Daughter, Financial Assistance, Gold, Marriage"
Free Supply of Note Books to the Children of Poor Widows,https://www.myscheme.gov.in/schemes/fsnbcpw,Tamil Nadu,"Children, Education, Notebook, Widow, Children, Education, Notebook, Widow"
Supporting Community Radio Movement in India,https://www.myscheme.gov.in/schemes/crss,Ministry Of Information And Broadcasting,"Community Radio Stations, Educational Institutions Operating CRS, NGOs Operating CRS, Community Radio Stations, Educational Institutions Operating CRS, NGOs Operating CRS"
Investment Promotion Scheme (IPS) for MSME Sector: Reimbursement Of Free On Board (FOB) Expenses,https://www.myscheme.gov.in/schemes/ipsfob,The Dadra And Nagar Haveli And Daman And Diu,"Entrepreneurship, Exports, FOB, Food Processing, Incentives, Investment, Marine Food Processing, MSMEs, Reimbursement, Subsidy, Entrepreneurship, Exports, FOB, Food Processing, Incentives, Investment, Marine Food Processing, MSMEs, Reimbursement, Subsidy"
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for State Goods and Services Tax (SGST),https://www.myscheme.gov.in/schemes/ismpsssgst,West Bengal,"Entrepreneurship, GST, Powerloom, Reimbursement, SGST, State Goods And Services Tax, Subsidy, Waiver, Entrepreneurship, GST, Powerloom, Reimbursement, SGST, State Goods And Services Tax, Subsidy, Waiver"
Incentive Scheme for MSMEs in Powerloom Sector: Waiver of Electricity Duty,https://www.myscheme.gov.in/schemes/ismpswed,West Bengal,"Electricity Duty, Entrepreneurship, Powerloom, Reimbursement, Subsidy, Waiver, Electricity Duty, Entrepreneurship, Powerloom, Reimbursement, Subsidy, Waiver"
Subsidy for Developing Business Premises for Persons with Disabilities,https://www.myscheme.gov.in/schemes/sdbppd,Haryana,"Business Premise, Disability, Loan, PwD, Self-employment, Subsidy, Business Premise, Disability, Loan, PwD, Self-employment, Subsidy"
Micro Finance Scheme- Credit Line 1 for Minority Community,https://www.myscheme.gov.in/schemes/mfs-cl1mc,Haryana,"Credit Line, Loan, Micro Finance, Minority Community, SHG, Credit Line, Loan, Micro Finance, Minority Community, SHG"
Investment Promotion Scheme (IPS) for Thrust Sectors: Assistance For Furniture Sector,https://www.myscheme.gov.in/schemes/ipstsaffs,The Dadra And Nagar Haveli And Daman And Diu,"Entrepreneurship, Furniture Sector, Incentives, IPS, Reimbursement, Subsidy, Thrust Sectors, Entrepreneurship, Furniture Sector, Incentives, IPS, Reimbursement, Subsidy, Thrust Sectors"
Old Age Samman Allowance,https://www.myscheme.gov.in/schemes/oasas,Haryana,"Financial Assistance, Old Age, Pension, Senior Citizen, Social Security, Social Welfare, Financial Assistance, Old Age, Pension, Senior Citizen, Social Security, Social Welfare"
Investment Promotion Scheme (IPS) For Handicraft Artisans: Assistance For Capital Investment For The Handloom And Handicrafts Artisans Of The U.T. Requiring Financial Assistance For Purchase Of Machinery Or Raw Materials,https://www.myscheme.gov.in/schemes/ipshacihh,The Dadra And Nagar Haveli And Daman And Diu,"Capital Investment, Entrepreneurship, Handicraft Artisans, Handloom, Incentives, IPS, MSMEs, Purchase Of Machinery, Reimbursement, Subsidy, Capital Investment, Entrepreneurship, Handicraft Artisans, Handloom, Incentives, IPS, MSMEs, Purchase Of Machinery, Reimbursement, Subsidy"
Vice Chancellor Internship Scheme,https://www.myscheme.gov.in/schemes/vcis,Ministry of Education,"Education, Honorarium, Postgraduate, Student, Undergraduate, Education, Honorarium, Postgraduate, Student, Undergraduate"
Shilp Sampada Term Loan Scheme for Backward Classes- Haryana,https://www.myscheme.gov.in/schemes/sstlsbc,Haryana,"Artisans, Backward Classes, Handicraft, Shilp Sampada, Term Loan, Artisans, Backward Classes, Handicraft, Shilp Sampada, Term Loan"
Micro Credit Finance under NSKFDC- Haryana,https://www.myscheme.gov.in/schemes/mcfnskfdc-h,Haryana,"HSFDC, Loan, Micro Credit, NSKFDC, Safai Karamcharis, Self-employment, HSFDC, Loan, Micro Credit, NSKFDC, Safai Karamcharis, Self-employment"
Investment Promotion Scheme (IPS) for Thrust Sectors: Scheme For Marine Products Processing Units,https://www.myscheme.gov.in/schemes/ipsftsmppu,The Dadra And Nagar Haveli And Daman And Diu,"Entrepreneurship, Food Processing Industries, Incentives, IPS, Marine Products, Reimbursement, Subsidy, Thrust Sectors, Entrepreneurship, Food Processing Industries, Incentives, IPS, Marine Products, Reimbursement, Subsidy, Thrust Sectors"
Mahila Adhikarita Yojana under NSKFDC- Haryana,https://www.myscheme.gov.in/schemes/maynskfdc-h,Haryana,"Adhikarita, HSFDC, Loan, Mahila, NSKFDC, Safai Karamchari, Self-Employment, Woman, Adhikarita, HSFDC, Loan, Mahila, NSKFDC, Safai Karamchari, Self-Employment, Woman"
Investment Promotion Scheme (IPS): Environment Protection Infrastructure Subsidy,https://www.myscheme.gov.in/schemes/ips,The Dadra And Nagar Haveli And Daman And Diu,"Entrepreneurship, Environment, Incentives, Infrastructure, IPS, MSMEs, Reimbursement, Subsidy, Entrepreneurship, Environment, Incentives, Infrastructure, IPS, MSMEs, Reimbursement, Subsidy"
Permanent Disability/ Death Benefit for the Construction Workers,https://www.myscheme.gov.in/schemes/pddbftcw,Sikkim,"Accidental Support, Construction Workers, Death Benefit, Divyang, Financial Assistance, Labour, Permanent Disability, Accidental Support, Construction Workers, Death Benefit, Divyang, Financial Assistance, Labour, Permanent Disability"
National Centre for Earth Science Studies Internship Scheme,https://www.myscheme.gov.in/schemes/ncessis,Ministry Of Earth Sciences,"Dissertation, Graduation, Internship, NCESS, Post Graduation, Research, Research Scholar, Student, Training, Dissertation, Graduation, Internship, NCESS, Post Graduation, Research, Research Scholar, Student, Training"
Piggery Farming Scheme (HSFDC),https://www.myscheme.gov.in/schemes/pfs-hsfdc,Haryana,"BPL, HSFDC, Loan, Piggery Farming, Scheduled Caste, Self-employment, Subsidy, BPL, HSFDC, Loan, Piggery Farming, Scheduled Caste, Self-employment, Subsidy"
The West Bengal Incentive Scheme: Additional Incentive for Adventure Tour Operators,https://www.myscheme.gov.in/schemes/wbisaito,West Bengal,"Adventure, Entrepreneurship, Incentives, Reimbursement, Subsidy, Tour Operators, Tourism, Tourism Units, Adventure, Entrepreneurship, Incentives, Reimbursement, Subsidy, Tour Operators, Tourism, Tourism Units"
Kashyapa Scheme for Food & Shelter,https://www.myscheme.gov.in/schemes/ksfs,Andhra Pradesh,"Brahmin Community, Financial Assistance, Social Welfare, Brahmin Community, Financial Assistance, Social Welfare"
Veda Vyasa Scheme for Vedic Education,https://www.myscheme.gov.in/schemes/vvsve,Andhra Pradesh,"Brahmin Community, Financial Assistance, Student, Brahmin Community, Financial Assistance, Student"
Gayathri Scheme for Academic Excellence,https://www.myscheme.gov.in/schemes/gsae,Andhra Pradesh,"Brahmin, Education, Financial Assistance, SSC, Student, Brahmin, Education, Financial Assistance, SSC, Student"
Lakshmir Bhandar Scheme,https://www.myscheme.gov.in/schemes/lbs-wb,West Bengal,"Financial Asisstance, Lakshmir Bhandar, Social Welfare, Women, Financial Asisstance, Lakshmir Bhandar, Social Welfare, Women"
Post Matric Scholarship Scheme For The Students Belonging To Scheduled Tribe For Studies In India,https://www.myscheme.gov.in/schemes/post-st,Ministry Of Tribal Affairs,"Education, Post Matric, Scheduled Tribe Students, Scholarship, Study, Education, Post Matric, Scheduled Tribe Students, Scholarship, Study"
Ex-gratia for Permanent Disability/ Chronic Diseases/ Surgery/ Operation for the Construction Workers,https://www.myscheme.gov.in/schemes/egpdcdso,The Dadra And Nagar Haveli And Daman And Diu,"Building Worker, Chronic Diseases, Construction Worker, Ex-gratia, Labour, Operation, Permanent Disability, Surgery, Building Worker, Chronic Diseases, Construction Worker, Ex-gratia, Labour, Operation, Permanent Disability, Surgery"
Payment of Funeral Assistance for the Construction Workers,https://www.myscheme.gov.in/schemes/pofaftcw,The Dadra And Nagar Haveli And Daman And Diu,"Building Worker, Construction Worker, Dependents, Funeral Assistance, Labour, Nominees, Building Worker, Construction Worker, Dependents, Funeral Assistance, Labour, Nominees"
Financial Assistance to WW II Veteran and Widows of WW II Veterans,https://www.myscheme.gov.in/schemes/fawwiivwwwiiv,Haryana,"Ex-serviceman, Financial Assistance, Sainik, Veteran, Widow, World War-II, Ex-serviceman, Financial Assistance, Sainik, Veteran, Widow, World War-II"
Skill Development Allowance Scheme,https://www.myscheme.gov.in/schemes/sda2013,Himachal Pradesh,"Allowance, Employment Exchange, Skill Development Training, Unemployed Youth, Allowance, Employment Exchange, Skill Development Training, Unemployed Youth"
Bharati Scheme for Education - 1st Class to 5th Class,https://www.myscheme.gov.in/schemes/bse,Andhra Pradesh,"Brahmin, Education, Financial Assistance, Student, Brahmin, Education, Financial Assistance, Student"
Unemployment Allowance Scheme,https://www.myscheme.gov.in/schemes/uas,Himachal Pradesh,"Allowance, Employment Exchange, Unemployed Youth, Allowance, Employment Exchange, Unemployed Youth"
Chief Minister Higher Education Encouragement Scholarship Scheme,https://www.myscheme.gov.in/schemes/cmheess,Uttarakhand,"Encouragement, Graduation, Higher Education, Post-graduation, Scholarship, Student, Encouragement, Graduation, Higher Education, Post-graduation, Scholarship, Student"
Sudama Pre-Matric Scholarship Scheme (Class 9th to 10th),https://www.myscheme.gov.in/schemes/spmssc910,Madhya Pradesh,"BPL, Pre-Matric, Scholarship, Student, Sudama, BPL, Pre-Matric, Scholarship, Student, Sudama"
Maintenance Of Pregnant Desi Indigenous Cows Ration For BPL Families,https://www.myscheme.gov.in/schemes/pregnant-desiindigenous-cows-ration,Himachal Pradesh,"Balanced Ration, BPL Families, Pregnant Desi Indigenous Cows, Balanced Ration, BPL Families, Pregnant Desi Indigenous Cows"
Shram Yogi Prasad Scheme,https://www.myscheme.gov.in/schemes/syps,The Dadra And Nagar Haveli And Daman And Diu,"Breakfast, Building Worker, Construction Worker, Food, Labour, Mid Day Meal, Breakfast, Building Worker, Construction Worker, Food, Labour, Mid Day Meal"
Marriage Grant for the Marriage of Daughters of Widows of Ex-servicemen (other than War Widows),https://www.myscheme.gov.in/schemes/mgmdwesmww,Haryana,"Daughter, Ex-Serviceman, Financial Assistance, Marriage, Widow, Daughter, Ex-Serviceman, Financial Assistance, Marriage, Widow"
Mukhyamantri Anusuchit Jati Evam Anusuchit Janjati Chhatrawas Anudan Yojana,https://www.myscheme.gov.in/schemes/majeajcay,Bihar,"Grant, Hostel, Scheduled Caste, Scheduled Tribe, Student, Grant, Hostel, Scheduled Caste, Scheduled Tribe, Student"
Scheme for Celebration of Birth/death Anniversary of Eminent Personalities,https://www.myscheme.gov.in/schemes/scbdaep,Delhi,"Anniversary, Financial Assistance, Jayantis, NGO, Anniversary, Financial Assistance, Jayantis, NGO"
Maintenance Of Pregnant Desi/Indigenous Cow/Buffalo Ration Scheme For BPL Families Belonging To Scheduled Caste (SC) Category,https://www.myscheme.gov.in/schemes/mpdicbrsbfscc,Himachal Pradesh,"BPL Families, Livestock, Pregnant Cows Or Buffaloes, BPL Families, Livestock, Pregnant Cows Or Buffaloes"
International Centre for Environment Audit and Sustainable Development (iCED),https://www.myscheme.gov.in/schemes/iceasd-iced,Comptroller And Auditor General Of India,"Internship, Post-Graduate, Remuneration, Student, Internship, Post-Graduate, Remuneration, Student"
Marketing Development Assistance Scheme,https://www.myscheme.gov.in/schemes/mdas,Ministry Of Tourism,"Financial Assistance, International, Operators, Promotion, Tourism, Financial Assistance, International, Operators, Promotion, Tourism"
Pratibha Yojana,https://www.myscheme.gov.in/schemes/py,Madhya Pradesh,"AIIMS, IIT, NIT, NLU, Pratibha, Scheduled Tribe, Student, AIIMS, IIT, NIT, NLU, Pratibha, Scheduled Tribe, Student"
Medical Expenses for Treatment of Major Ailments (O.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/metfmaiso,Odisha,"Ailments, Building Worker, Construction Worker, Labour, Medical Expenses, Surgery, Treatment, Ailments, Building Worker, Construction Worker, Labour, Medical Expenses, Surgery, Treatment"
Maternity Benefit (O.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/mbobocwwb,Odisha,"Building Worker, Child Delivery, Construction Worker, Labour, Maternity, Pregnancy Care, Women, Building Worker, Child Delivery, Construction Worker, Labour, Maternity, Pregnancy Care, Women"
State Marriage Assistance Scheme,https://www.myscheme.gov.in/schemes/smas,Ladakh,"Differently-abled Person, Female, Financial Assistance, Marriage, Differently-abled Person, Female, Financial Assistance, Marriage"
Nalkoop Khanan Yojana- Madhya Pradesh,https://www.myscheme.gov.in/schemes/nkymp,Madhya Pradesh,"Farmer, Nalkoop, Pump, Subsidy, Tube Well, Farmer, Nalkoop, Pump, Subsidy, Tube Well"
Assistance for Purchase of Safety Equipment (O.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/afpsebocwwb,Odisha,"Building Worker, Construction Worker, Hand Gloves, Helmet, Labour, Safety Equipment, Safety Shoes, Building Worker, Construction Worker, Hand Gloves, Helmet, Labour, Safety Equipment, Safety Shoes"
Rehabilitation of Cured Leprosy Persons: Pre & Post-Matric Scholarship,https://www.myscheme.gov.in/schemes/rcpppms,Odisha,"Leprosy Persons, Post Matric, Pre Matric, Rehabilitation, Scholarship, Student, Leprosy Persons, Post Matric, Pre Matric, Rehabilitation, Scholarship, Student"
KALIA Scholarship,https://www.myscheme.gov.in/schemes/kalias,Odisha,"KALIA, Professional Course, Scholarship, Student, Technical Course, KALIA, Professional Course, Scholarship, Student, Technical Course"
