Scheme Name,URL
Old Age Home (Sahara),https://www.myscheme.gov.in/schemes/oah
Distribution of Rhizobium,https://www.myscheme.gov.in/schemes/dor
"Seed Multiplication Scheme of Paddy, Millets, Pulses, Oilseeds and Cotton",https://www.myscheme.gov.in/schemes/smsopm
Supply of Tool Kits to their Trained Workers,https://www.myscheme.gov.in/schemes/stkk
Afforestation Schemes Providing Incentives And Employment To Tribals In Forest,https://www.myscheme.gov.in/schemes/aspie
Animal Husbandry,https://www.myscheme.gov.in/schemes/ahtn
Award of Attendance Scholarship to Girl Students in the Middle Stage of Education,https://www.myscheme.gov.in/schemes/aasgsmse
Out of School Children scheme under Goa Sarva Shiksha Abhivan,https://www.myscheme.gov.in/schemes/ooscs
"Grant of 50% Subsidy for the Purchase of Aquarium and Its Accessories under ""Development of Freshwater Aquaculture and Setting up of Aquarium, Ornamental Fish Breeding Centre""",https://www.myscheme.gov.in/schemes/gspaa-dfwasaofbc
Financial Assistance for Purchase of Stake Net and its Accessories,https://www.myscheme.gov.in/schemes/fapsna
Grant of Subsidy for Procurement of Vehicle,https://www.myscheme.gov.in/schemes/gspv
Integrated Child Development Services: Chandigarh,https://www.myscheme.gov.in/schemes/icds-chandigarh
Samarth-Respite Care Scheme,https://www.myscheme.gov.in/schemes/srcs
Madilu Kit,https://www.myscheme.gov.in/schemes/madilu
Promotion of Energy Audit and Conservation of Energy (PEACE): Awareness Programme,https://www.myscheme.gov.in/schemes/peaceap
Scholarship Scheme for Girl Children of Jute Mills / MSMEs Workers,https://www.myscheme.gov.in/schemes/ssfgcojmmw
Rajasthan Chief Minister's Relief Fund - Kargil Package,https://www.myscheme.gov.in/schemes/rcmrf-kp
Interest Subsidy on Loans for Agriculture and Allied Activities,https://www.myscheme.gov.in/schemes/islaaa
"""Immediate Death Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",https://www.myscheme.gov.in/schemes/wrflsncs-idra
Subsidy for the Purchase of Wooden/Fiber Reinforced Plastic/Steel Mechanised Boats,https://www.myscheme.gov.in/schemes/spwfrpsmb-faascdmf
Financial Assistance for Construction/ Purchase of Wooden/ FRP Fishing Vessel (Canoe) for Fishermen,https://www.myscheme.gov.in/schemes/facpwfrpfvcf
Mid Day Meals Scheme,https://www.myscheme.gov.in/schemes/mdmss
"""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/fgrmb-faascdmf
Viranarayan Singh Shram Ann Yojana,https://www.myscheme.gov.in/schemes/vssay
Reimbursement of Tuition Fees for Typewriting and Shorthand Courses for Children of Widows,https://www.myscheme.gov.in/schemes/rtftsccw
Educational Allowances to the Children of Widows,https://www.myscheme.gov.in/schemes/eacw
Award of Post-Matric Scholarship to Scheduled Caste Students,https://www.myscheme.gov.in/schemes/apmsscs
Supply of Invalid Carriages (Motorized Tri-cycles) to the Persons With Disabilities,https://www.myscheme.gov.in/schemes/sicmtcpd
Zero Ticket Bus Travel Scheme for Women,https://www.myscheme.gov.in/schemes/tnztbtsfw
Chief Minister Breakfast Scheme,https://www.myscheme.gov.in/schemes/tncmbs
Grant of Stipend to Differently Abled Trainees,https://www.myscheme.gov.in/schemes/gsdat
"""Insurance Scheme For Artisans"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/isa
"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/atihcdohs
"""Grant to Coir Cluster/Societies/Agency"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/gccsa-dc
"""Training in Silk"" Component of the ""Development of Silk"" Scheme",https://www.myscheme.gov.in/schemes/ts-ds
Specialized Treatment & Medical Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/stmas-pbaocwwb
Higher Educational Finance Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/hefas-pbaocwwb
Accident Medical Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/amas-pbaocwwb
Refund of Contribution Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/rcs-pbaocwwb
"""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/cis5aciskr-mesifai
"""Outstanding Artisan of the Year"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/oay-mesifai-sa-msme
"One Time Cash Incentive towards Completing ITI, Typewriting, Accountancy, Bookkeeping, Tailoring, Computer Training (Sainik Welfare)",https://www.myscheme.gov.in/schemes/otci-citabtct
Funeral Grant (Sainik Welfare),https://www.myscheme.gov.in/schemes/fg-sw
Denture Grant (Sainik Welfare),https://www.myscheme.gov.in/schemes/dg-sw
Niramaya Health Insurance Scheme,https://www.myscheme.gov.in/schemes/nhis
Disability Pension (GBOCWWB),https://www.myscheme.gov.in/schemes/dp-gbocwwb
Modular Reflective Folding Sticks (Smartcane),https://www.myscheme.gov.in/schemes/mrfss
Assistance to Law Graduates,https://www.myscheme.gov.in/schemes/atlg
"Award of Scholarship to the Cadets Belonging to UT of Puducherry and Studying in Rashtriya Indian Military College, Dehradun",https://www.myscheme.gov.in/schemes/ascbutpsrimcd
Grant Scheme for Marriage of SC and ST Girls,https://www.myscheme.gov.in/schemes/gsfmssg
Distribution of Minikits At Free of Cost,https://www.myscheme.gov.in/schemes/domafoc
Organizing Block Demonstration,https://www.myscheme.gov.in/schemes/obd
Production of Foundation Seeds,https://www.myscheme.gov.in/schemes/pofs
AICTE - Grant For Augmenting Infrastructure In North Eastern Region,https://www.myscheme.gov.in/schemes/a-gainer
Pre Matric Scholarship Scheme (Saral Vidya Sahay) for SC and OBC (V to VIII),https://www.myscheme.gov.in/schemes/pmssso
Gagan Bharari Shiksha Yojana for OBC (Dhangar) Students,https://www.myscheme.gov.in/schemes/gbsyobc
Cluster Nutritional Kitchen Garden Scheme,https://www.myscheme.gov.in/schemes/cnkgs
Government Hostel for Working Women/ Girl Students,https://www.myscheme.gov.in/schemes/ghfwwgs
Soil Testing Laboratory,https://www.myscheme.gov.in/schemes/stl
Financial Assistance for setting up of Ornamental Fish Unit in Goa,https://www.myscheme.gov.in/schemes/fasuofug
"""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",https://www.myscheme.gov.in/schemes/ira-wrflsncs
Financial Assistance to Brackish Water Aquaculture Farms,https://www.myscheme.gov.in/schemes/fabwaf
Deen Dayal Upadhyaya Bunkar Yojana,https://www.myscheme.gov.in/schemes/dduby
Tripura Industrial Investment Promotion Incentive,https://www.myscheme.gov.in/schemes/tipii
AICTE SHORT TERM TRAINING PROGRAMME-SFURTI SCHEME,https://www.myscheme.gov.in/schemes/astpss
Grant of Subsidy for Purchase of Mangalyam to the Bridegroom of Weaker Section,https://www.myscheme.gov.in/schemes/gspmbws
Award of Pre-matric Scholarship to the Students Whose Parents Are Engaged in Unclean Occupation,https://www.myscheme.gov.in/schemes/apmsspeuo
Assistance under SC/ST Prevention of Atrocities Act,https://www.myscheme.gov.in/schemes/auscstpaa
Financial Assistance to Poor Scheduled Caste People Suffering From Prolonged Diseases,https://www.myscheme.gov.in/schemes/fapscpspi
Issue of Free Bus Pass to Differently Abled Person,https://www.myscheme.gov.in/schemes/ifbpdap
Incentive For Eye Donors,https://www.myscheme.gov.in/schemes/ied
Day Care - cum - Recreation Centre and Physiotherapy Unit,https://www.myscheme.gov.in/schemes/dccrcpu-giapsca
Assistance to Scheduled Caste Farmers for Installation of Submersible / Centrifugal Motor Pumpsets With Accessories,https://www.myscheme.gov.in/schemes/ascfiscmpa
Honorarium for Pradhan Samajpatis of Indigenous Tribal Community,https://www.myscheme.gov.in/schemes/hpsitc
"""In-Plant Training"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/ipt
Visitor's Award,https://www.myscheme.gov.in/schemes/va
"""Grant of Margin Money for Availing the Capital Loan"" Component of the ""Development of Silk"" Scheme",https://www.myscheme.gov.in/schemes/gmmacl-ds
Medical Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/mas-pbaocwwb
Accidental Death Benefit Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/adbs-pbaocwwb
Diwali Gift Benefit Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/dgbs-pbaocwwb
Medical Termination of Pregnancy Scheme (PULWS),https://www.myscheme.gov.in/schemes/mtp-pulws
Marriage Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/ma-pbaocwwb
Maternity Benefit Scheme (PULWS),https://www.myscheme.gov.in/schemes/mbs-pulws
"""Capital Investment Subsidy: Physically Handicapped Persons/ Ex-Servicemen"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/cisphpes-mesifai
"""Outstanding Exporter"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/oexp-mesifai-sa-msme
"Relief During Natural Calamities Such as Cyclone, Flood or Fire (Sainik Welfare)",https://www.myscheme.gov.in/schemes/rdnccff-sw
Grant to Meritorious Wards of ESM in Sports: National / International Level (Sainik Welfare),https://www.myscheme.gov.in/schemes/gmwesnil-sw
Kisan Kaleva Yojana,https://www.myscheme.gov.in/schemes/kky
Loan for the Purchase of Tools (GBOCWWB),https://www.myscheme.gov.in/schemes/lpt-gbocwwb
Maternity Benefit (GBOCWWB),https://www.myscheme.gov.in/schemes/mb-gbocwwb
Medical Assistance (GBOCWWB),https://www.myscheme.gov.in/schemes/ma-gbocwwb
Financial Assistance for Education (GBOCWWB),https://www.myscheme.gov.in/schemes/fae-gbocwwb
Grant of Financial Assistance to the Press Reporters of Puducherry,https://www.myscheme.gov.in/schemes/gfaprp
Free Bus Pass for Media Persons,https://www.myscheme.gov.in/schemes/fbpmp
Uniform Allowance to the Wards of Ex-Servicemen/Widows (Sainik Welfare),https://www.myscheme.gov.in/schemes/uawesmw-sw
Yatra Pass in DTC non AC Buses for the Construction Workers,https://www.myscheme.gov.in/schemes/ypidnabftcw
Award of Scholarship to the Children who are Recipients of National Child Award for Exceptional Achievements and Other National / International Merit Awards,https://www.myscheme.gov.in/schemes/ascrncaeaonima
West Bengal Handloom and Khadi Weavers Financial Benefit Scheme 2024: Assistance to Individual Handloom Weaver,https://www.myscheme.gov.in/schemes/aihw
"""Outstanding SC/ST Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/oscste-mesifai-sa-msme
West Bengal Textile Incentive Scheme: Waiver of Fees for Land Conversion and Mutation,https://www.myscheme.gov.in/schemes/wbtiswfflcm
Khule Jalsroto Mei Pen Aadharit Matsya Paalan ki Yojana,https://www.myscheme.gov.in/schemes/kjmpampky
Rehabilitation of Cured Leprosy Persons: Assistance to Parents,https://www.myscheme.gov.in/schemes/rclpap
Rehabilitation of Cured Leprosy Persons: Marriage Incentives & Support,https://www.myscheme.gov.in/schemes/rclpmis
Chief Minister's Krishi Rinn Yojana,https://www.myscheme.gov.in/schemes/cmkry
15 Days Skill Up-gradation Training,https://www.myscheme.gov.in/schemes/15dsugt
District Central Cooperative Banks and through its Branches: For Jewel Loan,https://www.myscheme.gov.in/schemes/dccbfjl
Grant of Stipends to the Physically Handicapped Students,https://www.myscheme.gov.in/schemes/gsphs
Crop Cluster Development Programme,https://www.myscheme.gov.in/schemes/ccdp
Beej Swalamban Yojna,https://www.myscheme.gov.in/schemes/bsyrj
