Scheme Name,URL
Free Medical Card for Media Persons,https://www.myscheme.gov.in/schemes/fmcmp
Relief under Natural Calamity / Pandemic Period (PBAOCWWB),https://www.myscheme.gov.in/schemes/runcpp-pbaocwwb
Maternity Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/mat-pbaocwwb
Funeral Assistance Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/fas-pbaocwwb
Chief Minister’s Girl Child Protection Scheme-II,https://www.myscheme.gov.in/schemes/cmgcpsii
Cash Benefit Scheme Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/cbs-pbaocwwb
Deepawali Cash Gift Scheme (PULWS),https://www.myscheme.gov.in/schemes/dcgs-pulws
Scheme for Giving Financial Assistance to the Legal Heirs of the Deceased Artist (Wife/Husband) on the Death of the Indigent Artist Who Was Receiving Financial Assistance,https://www.myscheme.gov.in/schemes/sfgfattlhotdawhotdotiawwrfs
Hearing Aid Grant (Sainik Welfare),https://www.myscheme.gov.in/schemes/hag-sw
Scheme for Grant of Financial Assistance to Industrial Workers/Employee for Purchase of Spectacles,https://www.myscheme.gov.in/schemes/sgfaiweps
Financial Assistance for Marriage (GBOCWWB),https://www.myscheme.gov.in/schemes/fam-gbocwwb
"Grant of Annual Scholarship to the Students Belonging to UT of Puducherry Selected and Studying in the Sainik School, Amaravathi Nagar, Tamil Nadu",https://www.myscheme.gov.in/schemes/gassutpssatn
Book Allowance to the Wards of Ex-Servicemen/Widows (Sainik Welfare),https://www.myscheme.gov.in/schemes/bawesmw-sw
Battery Operated Wheelchair by Welfare of Differently Abled Persons Department,https://www.myscheme.gov.in/schemes/bowbwodapd
Pipes Carrying Water From Source To Field,https://www.myscheme.gov.in/schemes/pcwfsf
Bal Sakha Yojana,https://www.myscheme.gov.in/schemes/bsy
Training to Farmers,https://www.myscheme.gov.in/schemes/ttf
Award of Pre-Matric Scholarship to Other Economically Backward Class (OEBC) Students,https://www.myscheme.gov.in/schemes/apmsoebcs
Gagan Bharari Shiksha Yojana for SC Students,https://www.myscheme.gov.in/schemes/gbsysc
